Date,market_ret,breadth,market_anomaly_flag
2019-02-22,0.013715861460080858,1.0,0
2019-02-25,0.0026533156062593655,0.75,0
2019-02-26,-0.00011583134004311546,0.75,0
2019-02-27,-0.0016212347502560787,0.5,0
2019-02-28,-0.004557121333705921,0.0,1
2019-03-01,0.012156040104968568,1.0,0
2019-03-04,0.004839792780467839,0.75,0
2019-03-05,-0.0026678911595550137,0.0,1
2019-03-06,-0.011934628098937,0.25,1
2019-03-07,-0.016964670127678078,0.0,1
2019-03-08,0.0023855414625748583,0.75,0
2019-03-11,0.039019103834128877,1.0,0
2019-03-12,0.00707136629218702,1.0,0
2019-03-13,0.015071557441341366,1.0,0
2019-03-14,-0.0022398792479767227,0.5,0
2019-03-15,0.01642503767256115,1.0,0
2019-03-18,0.009215653328525919,0.75,0
2019-03-19,0.011018863128473111,0.75,0
2019-03-20,0.005070488545288909,0.5,0
2019-03-21,0.03168554511717836,1.0,0
2019-03-22,-0.02800998082356035,0.0,1
2019-03-25,-0.005614969461302299,0.5,0
2019-03-26,0.0037321106475118604,0.75,0
2019-03-27,-0.0032227524468333713,0.25,1
2019-03-28,0.0028295750478384285,1.0,0
2019-03-29,0.008080280109748872,1.0,0
2019-04-01,0.012468778476285636,1.0,0
2019-04-02,0.004949795474956525,0.75,0
2019-04-03,0.011953575755092316,1.0,0
2019-04-04,-0.001565891612762993,0.25,1
2019-04-05,0.008887616724347847,1.0,0
2019-04-08,0.006828970504518472,1.0,0
2019-04-09,-0.007297192161758725,0.0,1
2019-04-10,0.008626922586821684,1.0,0
2019-04-11,-0.0029598315375314044,0.25,1
2019-04-12,-0.0009462675557006528,0.25,1
2019-04-15,-0.006081717418657068,0.75,0
2019-04-16,0.006660048802416774,0.75,0
2019-04-17,0.0059551016962598735,0.75,0
2019-04-18,0.0024422322375969863,0.5,0
2019-04-22,0.007964348151245526,1.0,0
2019-04-23,0.014747337260351823,1.0,0
2019-04-24,-0.003448532841110047,0.25,1
2019-04-25,0.0005053339373636834,0.5,0
2019-04-26,-0.005199956698693664,0.5,0
2019-04-29,0.00032556015096940616,0.5,0
2019-04-30,-0.0024230088808359362,0.5,0
2019-05-01,0.004386102346633142,0.25,1
2019-05-02,-0.0025232217695143333,0.25,1
2019-05-03,0.016297656121358167,0.75,0
2019-05-06,-0.011149262231589102,0.0,1
2019-05-07,-0.025026274168338497,0.0,1
